epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7162,1.53802,3.13932,1.64853,0.63408,0.29239,0.29277,0.17496,1.55012,2.94491,1.81934,0.00019089,0.00019089,0.00019089
2,21.9434,1.39416,1.88776,1.50936,0.58218,0.36532,0.35589,0.18199,1.70819,2.75483,1.90428,0.000375392,0.000375392,0.000375392
3,35.3595,1.34378,1.70366,1.50962,0.55069,0.35388,0.35391,0.18134,1.69895,2.75064,1.9135,0.000544055,0.000544055,0.000544055
4,46.8104,1.36565,1.55728,1.47174,0.47804,0.44207,0.39736,0.2099,1.73006,2.42204,1.93631,0.000696879,0.000696879,0.000696879
5,55.6071,1.31842,1.41169,1.43439,0.62663,0.37457,0.38649,0.19569,1.88088,2.33944,2.10293,0.000765014,0.000765014,0.000765014
6,68.6888,1.32247,1.37461,1.45931,0.63505,0.34592,0.39363,0.1975,1.71575,2.21467,2.02435,0.000729018,0.000729018,0.000729018
7,82.2289,1.35331,1.33596,1.4836,0.5926,0.44033,0.44903,0.23405,1.66759,2.14123,1.88503,0.000693022,0.000693022,0.000693022
8,97.2467,1.28697,1.24183,1.41456,0.73126,0.43316,0.50819,0.26546,1.7177,2.09276,1.88673,0.000657025,0.000657025,0.000657025
9,112.267,1.25848,1.2395,1.42976,0.73263,0.47491,0.54054,0.2929,1.65982,1.94532,1.91068,0.000621029,0.000621029,0.000621029
10,129.631,1.24809,1.1382,1.40137,0.66212,0.52531,0.5457,0.3115,1.61444,1.7709,1.82769,0.000585032,0.000585032,0.000585032
11,148.388,1.21214,1.11475,1.37989,0.78861,0.47718,0.56627,0.31696,1.69717,1.78795,1.8611,0.000549036,0.000549036,0.000549036
12,167.958,1.21419,1.10827,1.38726,0.81233,0.55687,0.61904,0.35008,1.66474,1.55142,1.81496,0.00051304,0.00051304,0.00051304
13,176.766,1.19939,1.05201,1.37603,0.75688,0.52634,0.59146,0.34081,1.63219,1.56131,1.77149,0.000477043,0.000477043,0.000477043
14,189.989,1.20658,1.0527,1.3582,0.73054,0.53861,0.59655,0.34131,1.58721,1.5587,1.75723,0.000441047,0.000441047,0.000441047
15,203.456,1.18737,1.04698,1.35031,0.79829,0.50326,0.6099,0.34036,1.54438,1.50663,1.75129,0.00040505,0.00040505,0.00040505
16,224.972,1.16539,1.02611,1.38357,0.7725,0.50691,0.58551,0.33697,1.57662,1.58636,1.78529,0.000369054,0.000369054,0.000369054
17,233.321,1.12104,0.92072,1.33617,0.61327,0.58834,0.62857,0.36129,1.51767,1.46709,1.76212,0.000333058,0.000333058,0.000333058
18,244.438,1.06391,0.84149,1.29118,0.81538,0.58205,0.66038,0.37619,1.49136,1.31195,1.69456,0.000297061,0.000297061,0.000297061
19,259.26,1.0523,0.79969,1.29634,0.82754,0.59595,0.66906,0.39955,1.45651,1.21155,1.64591,0.000261065,0.000261065,0.000261065
20,274.832,1.01292,0.74416,1.24839,0.8599,0.63643,0.70523,0.41344,1.44694,1.1586,1.62938,0.000225068,0.000225068,0.000225068
21,286.17,0.99878,0.70355,1.2419,0.72665,0.72792,0.75797,0.43614,1.46689,1.14495,1.64095,0.000189072,0.000189072,0.000189072
22,294.509,0.98297,0.67246,1.22765,0.85134,0.68485,0.75077,0.43902,1.43061,1.08618,1.6109,0.000153076,0.000153076,0.000153076
23,310.573,0.94508,0.66009,1.20266,0.86656,0.63422,0.7487,0.43536,1.40546,1.05688,1.58618,0.000117079,0.000117079,0.000117079
24,319.837,0.91585,0.62869,1.19314,0.79794,0.69413,0.74768,0.44344,1.40079,1.0515,1.58483,8.10828e-05,8.10828e-05,8.10828e-05
25,328.251,0.90197,0.59906,1.1646,0.80053,0.69011,0.7463,0.43973,1.4084,1.04819,1.60204,4.50864e-05,4.50864e-05,4.50864e-05
