epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.884,1.69506,2.03177,1.71903,0.41411,0.38236,0.3314,0.14397,1.95211,2.21987,1.99156,0.000332347,0.000332347,0.0670976
2,671.294,1.67739,1.81119,1.71405,0.5586,0.38952,0.36285,0.15454,1.9234,1.88945,1.94494,0.0006525,0.0006525,0.0340845
3,1007.31,1.68246,1.83477,1.72316,0.59584,0.45378,0.46613,0.21552,1.80141,1.61135,1.85296,0.000959453,0.000959453,0.00105807
4,1343.06,1.63044,1.69121,1.6855,0.5787,0.4551,0.4726,0.22147,1.74986,1.59774,1.77795,0.0009406,0.0009406,0.0009406
5,1678.91,1.58865,1.58195,1.63954,0.61708,0.49993,0.52071,0.24299,1.73629,1.42755,1.77165,0.0009208,0.0009208,0.0009208
6,2014.67,1.55156,1.51639,1.62037,0.60184,0.54806,0.5635,0.28035,1.66149,1.36023,1.71533,0.000901,0.000901,0.000901
7,2352.13,1.52879,1.44359,1.59735,0.61472,0.534,0.56057,0.28307,1.65156,1.33692,1.71385,0.0008812,0.0008812,0.0008812
8,2684,1.5151,1.4037,1.58744,0.57849,0.54457,0.54176,0.27278,1.65079,1.33093,1.69919,0.0008614,0.0008614,0.0008614
9,3016.06,1.48786,1.35994,1.56475,0.64301,0.56761,0.60007,0.29897,1.62583,1.26529,1.67422,0.0008416,0.0008416,0.0008416
10,3352.55,1.47763,1.30295,1.55421,0.67195,0.61179,0.63072,0.30726,1.66476,1.20432,1.68841,0.0008218,0.0008218,0.0008218
11,3689.05,1.46744,1.28012,1.54957,0.65388,0.60838,0.63114,0.32587,1.61151,1.16929,1.65652,0.000802,0.000802,0.000802
12,4027.56,1.44747,1.24217,1.53771,0.66744,0.60735,0.6496,0.33572,1.58243,1.12797,1.6365,0.0007822,0.0007822,0.0007822
13,4363.66,1.43396,1.218,1.5178,0.69755,0.60047,0.64299,0.34375,1.54958,1.15156,1.61884,0.0007624,0.0007624,0.0007624
14,4694.93,1.42027,1.1892,1.51176,0.69287,0.59779,0.65373,0.34592,1.57141,1.12197,1.6177,0.0007426,0.0007426,0.0007426
15,5033.65,1.41321,1.1695,1.50768,0.69708,0.63583,0.67879,0.3683,1.54648,1.07641,1.60875,0.0007228,0.0007228,0.0007228
16,5370.43,1.40384,1.14195,1.49562,0.68083,0.6475,0.67584,0.35866,1.53714,1.07143,1.60729,0.000703,0.000703,0.000703
17,5705.86,1.38209,1.1278,1.48681,0.71049,0.66788,0.70999,0.3906,1.50453,1.0192,1.58233,0.0006832,0.0006832,0.0006832
18,6043.89,1.37872,1.10425,1.47957,0.70878,0.68022,0.7133,0.39482,1.49446,0.99283,1.57594,0.0006634,0.0006634,0.0006634
19,6380.97,1.36679,1.08382,1.4684,0.69316,0.65697,0.69903,0.3814,1.51599,1.00601,1.59298,0.0006436,0.0006436,0.0006436
20,6718.26,1.35841,1.06325,1.4666,0.72943,0.67629,0.72141,0.39837,1.50559,0.99121,1.57653,0.0006238,0.0006238,0.0006238
21,7054.68,1.33599,1.0422,1.45505,0.72284,0.67427,0.7216,0.39984,1.49053,0.98072,1.57007,0.000604,0.000604,0.000604
22,7385.78,1.33056,1.02124,1.44473,0.73704,0.69036,0.7492,0.41731,1.47533,0.93937,1.55565,0.0005842,0.0005842,0.0005842
23,7723.18,1.32504,1.01031,1.43992,0.75724,0.68143,0.73591,0.4131,1.46679,0.94728,1.55253,0.0005644,0.0005644,0.0005644
24,8059.11,1.31528,0.99136,1.43629,0.7413,0.68548,0.74066,0.41513,1.47054,0.93634,1.55896,0.0005446,0.0005446,0.0005446
25,8389.8,1.29354,0.9767,1.42038,0.75305,0.6926,0.75366,0.43151,1.44922,0.90891,1.53944,0.0005248,0.0005248,0.0005248
26,8726.29,1.2883,0.95374,1.41528,0.75518,0.69558,0.75186,0.42406,1.46514,0.90224,1.55789,0.000505,0.000505,0.000505
27,9062.97,1.27928,0.95803,1.41256,0.74789,0.6861,0.74234,0.42219,1.46736,0.94429,1.55132,0.0004852,0.0004852,0.0004852
28,9415.51,1.26236,0.9257,1.40088,0.77255,0.69959,0.76635,0.444,1.42866,0.89152,1.52199,0.0004654,0.0004654,0.0004654
29,9751.48,1.26193,0.91003,1.39423,0.76355,0.71494,0.7786,0.4524,1.42954,0.86897,1.51723,0.0004456,0.0004456,0.0004456
30,10102.6,1.2467,0.89574,1.38908,0.77483,0.69055,0.76709,0.45088,1.41756,0.87109,1.5159,0.0004258,0.0004258,0.0004258
31,10458.6,1.24947,0.8873,1.39253,0.77798,0.72162,0.78236,0.46312,1.41453,0.85481,1.51552,0.000406,0.000406,0.000406
32,10817.5,1.23219,0.87716,1.37678,0.76703,0.71378,0.78344,0.46573,1.41012,0.85859,1.51746,0.0003862,0.0003862,0.0003862
33,11168.2,1.22325,0.86762,1.37042,0.79513,0.71523,0.78679,0.46413,1.41699,0.84072,1.51412,0.0003664,0.0003664,0.0003664
34,11504.3,1.21524,0.85178,1.36216,0.79517,0.71459,0.79477,0.47612,1.39507,0.82683,1.50321,0.0003466,0.0003466,0.0003466
35,11840.1,1.2007,0.83876,1.35569,0.7945,0.71023,0.79439,0.47288,1.39553,0.8217,1.50005,0.0003268,0.0003268,0.0003268
36,12170,1.19725,0.83113,1.34769,0.81337,0.70301,0.78641,0.471,1.39035,0.83894,1.49601,0.000307,0.000307,0.000307
37,12500.1,1.18076,0.80933,1.33818,0.81153,0.70655,0.79431,0.47854,1.38876,0.82569,1.4977,0.0002872,0.0002872,0.0002872
38,12830.6,1.16965,0.79589,1.33582,0.8077,0.72237,0.79579,0.48252,1.38698,0.81628,1.49422,0.0002674,0.0002674,0.0002674
39,13171.8,1.16276,0.78787,1.328,0.79253,0.72725,0.80271,0.48431,1.39466,0.81671,1.50236,0.0002476,0.0002476,0.0002476
40,13502.6,1.15836,0.78089,1.32179,0.78952,0.72811,0.7939,0.47564,1.39988,0.82526,1.50906,0.0002278,0.0002278,0.0002278
41,13837.7,1.15228,0.69172,1.37149,0.81462,0.7141,0.8028,0.48681,1.37999,0.80057,1.49136,0.000208,0.000208,0.000208
42,14176.7,1.13278,0.6657,1.36024,0.81037,0.72905,0.80649,0.48969,1.38155,0.79686,1.49491,0.0001882,0.0001882,0.0001882
43,14510.8,1.11132,0.64837,1.34672,0.79392,0.74076,0.80485,0.48966,1.37781,0.79055,1.49881,0.0001684,0.0001684,0.0001684
44,14843.7,1.1006,0.63625,1.33976,0.8303,0.71806,0.80846,0.49497,1.37634,0.79156,1.49078,0.0001486,0.0001486,0.0001486
45,15182.3,1.0908,0.62907,1.33011,0.80006,0.72888,0.80183,0.48908,1.38204,0.80372,1.50472,0.0001288,0.0001288,0.0001288
46,15515.5,1.08187,0.61724,1.32229,0.81333,0.73172,0.80656,0.49595,1.37836,0.79105,1.50275,0.000109,0.000109,0.000109
47,15844.6,1.06505,0.60692,1.31413,0.81825,0.73357,0.81335,0.49745,1.3694,0.79415,1.49955,8.92e-05,8.92e-05,8.92e-05
48,16173.2,1.06109,0.60337,1.31474,0.81419,0.7342,0.81036,0.49786,1.36849,0.78644,1.49908,6.94e-05,6.94e-05,6.94e-05
49,16510.4,1.04825,0.5896,1.30438,0.81788,0.74163,0.81433,0.4999,1.36648,0.78228,1.49775,4.96e-05,4.96e-05,4.96e-05
50,16845.1,1.03575,0.58403,1.29516,0.79613,0.75514,0.81483,0.50032,1.36707,0.78204,1.49941,2.98e-05,2.98e-05,2.98e-05
